OG_id	n_organisms	n_essential_organisms	n_nonessential_organisms	n_genes	n_essential_genes	frac_essential	essentiality_class	rep_gene	rep_desc	essential_organisms	nonessential_organisms
OG00000	33	0	33	33	0	0.0	never_essential		COGs COG3146		ANA3;BFirm;Burk376;Caulo;Cup4G11;Dino;Dyella79;HerbieS;Kang;Korea;MR1;Magneto;Marino;PV4;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00001	27	9	18	27	9	0.3333333333333333	variably_essential		Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1)	BFirm;Burk376;Cup4G11;Dyella79;HerbieS;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163	ANA3;Kang;MR1;Marino;PS;PV4;Putida;SB2B;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00002	29	22	7	29	22	0.7586206896551724	variably_essential	acpS	4'-phosphopantetheinyl transferase (RefSeq)	BFirm;Burk376;Caulo;Cup4G11;DdiaME23;Dino;DvH;HerbieS;Kang;Keio;Korea;Koxy;Magneto;Miya;PS;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;Smeli;acidovorax_3H11;azobra	ANA3;Dda3937;Ddia6719;MR1;PV4;Phaeo;SB2B
OG00003	44	26	44	437	39	0.5909090909090909	variably_essential	rpoE	RNA polymerase sigma-70 factor, ECF subfamily	ANA3;BFirm;Burk376;Cup4G11;HerbieS;Keio;Koxy;MR1;Magneto;PS;PV4;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00004	43	0	43	43	0	0.0	never_essential	smf	DNA processing protein DprA, putative (RefSeq)		ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00005	34	0	34	48	0	0.0	never_essential		NAD-dependent dehydratase		ANA3;BFirm;Btheta;Burk376;Cola;Cup4G11;Dda3937;Ddia6719;Dino;Dyella79;HerbieS;Korea;MR1;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00006	46	25	22	47	25	0.5434782608695652	variably_essential	tatC	Sec-independent protein translocase protein tatC	BFirm;Burk376;Caulo;Cola;Dino;DvH;HerbieS;Korea;Magneto;Marino;Miya;PS;Pedo557;Phaeo;Ponti;Putida;RalstoniaUW163;Smeli;SynE;SyringaeB728a;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13	ANA3;Btheta;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dyella79;Kang;Keio;Koxy;MR1;PV4;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;SB2B;SyringaeB728a_mexBdelta;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00007	13	1	12	13	1	0.07692307692307693	variably_essential	flhD	flagellar transcriptional activator FlhD	HerbieS	BFirm;Burk376;Cup4G11;Dda3937;Ddia6719;DdiaME23;Keio;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;acidovorax_3H11
OG00008	33	0	33	35	0	0.0	never_essential		thioesterase superfamily protein (RefSeq)		ANA3;BFirm;Burk376;Cola;Cup4G11;DvH;Dyella79;HerbieS;Kang;MR1;Marino;Miya;PS;PV4;Pedo557;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00009	38	8	38	414	9	0.21052631578947367	variably_essential	artQ	amino acid ABC transporter permease	BFirm;Burk376;Ddia6719;HerbieS;Koxy;Phaeo;RalstoniaGMI1000;pseudo1_N1B4	ANA3;BFirm;Burk376;Caulo;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;HerbieS;Keio;Koxy;MR1;Marino;Methanococcus_JJ;Methanococcus_S2;Miya;PS;PV4;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
